title,bag_of_words
3022,3022 johnsuits omareppskatewalshmirandacosgrove independent movies sci-fi & fantasy thrillers mysteriouscataclysmsuddenlydestroyedastronautsaboardstrandedearthmindsmaroonedspacestationslowlylose  
1-Oct,Oct-01 kunleafolayan sadiqdabadavidbailiekayodeolaiya dramas international movies thrillers backdropdetectivedanladiwaziriraceskillerterrorizinglocalwomenloomingindependencecapturebritainnigeria  
22-Jul,22-Jul paulgreengrass andersdanielsenliejonøigardenjonasstrandgravli dramas thrillers youngsurvivordevastatingterrorattacksbasedhealinggrievingfamiliescountryrallyjusticetruestorynorway  
15-Aug,15-Aug swapnaneeljayakar rahulpethemrunmayeedeshpandeadinathkothare comedies dramas independent movies younglovestoryzanymishapcompellingresidentsindependencedayuniteindiamumbaichawldisruptsaidlittleboy  
​​Kuch Bheege Alfaaz,​​Kuch Bheege Alfaaz onir geetanjalithapazainkhandurranishrayraitiwari dramas independent movies international movies knowingbondaccidentallyconnectingtwostrangersformalreadyshareinternettightfriendship–  
​Goli Soda 2,​Goli Soda 2 vijaymilton samuthirakanibharathseenivinoth action & adventure dramas international movies athletestrugglelivesdespiteobstacleslikecrookedpoliticiansbettertaxidrivergangsterevildonscastebarriers  
​Maj Rati ​​Keteki,​Maj Rati ​​Keteki santwanabardoloi adilhussainshakilimtiazmahendrarabha dramas international movies encounteringpeoplelaunchedcareertownsuccessfulwriterreturnssparknostalgicoftenpainfullyilluminatingflashbacks  
​Mayurakshi,​Mayurakshi atanughosh soumitrachatterjeeprasenjitchatterjeeindranihaldar dramas international movies kolkatabringingnewdiscoveriesmiddlevisitburiedmemoriesresurfaceageddivorceereturnslongailingfather  
#Alive,#Alive choil yooah-inparkshin-hye horror movies international movies thrillers apartmentdigitallycutseekinghelpcitylonemanstayslockedinsidegrislyvirusrampagesfinddesperateway  
#AnneFrank - Parallel Stories,"#AnneFrank - Parallel Stories sabinafedeli,annamigotto helenmirrengenghergatti documentaries international movies retoldalongsidestoryannefrankpoignantdocumentaryoscarwinnerhelenmirrendiaryfiveholocaustsurvivors  "
#FriendButMarried,#FriendButMarried rakoprijanto adipatidolkenvaneshaprescillarendijhon dramas international movies romantic movies youngmanputsgettingmarriedbesteffortsyearsmovefriendzonerevealshighschoolcrushpining  
#FriendButMarried 2,#FriendButMarried 2 rakoprijanto adipatidolkenmawardejonghsarinila dramas international movies romantic movies dittofinallytransitionbestfriendsnewlywedsfutureayuyoungmarriagequickpregnancycreatesuncertainty  
#realityhigh,#realityhigh fernandolebrija nestacooperkatewalshjohnmichaelhiggins comedies socialmediacelebritylandsnerdyhighschoolerdanifinallyattractscrosshairslongtimecrushexinterest  
#Roxy,#Roxy michaelkennedy jakeshortsarahfisherbooboostewart comedies romantic movies girlhugenosehelpscoolkidwoo’secretlyloveteenagehacker  
#Selfie,#Selfie cristinajacob flaviahojdacrinasemciucolimpiamelinte comedies dramas international movies adolescencebangthreeteengirlsmakefinalexamstwodaysseasidegetawayend  
#Selfie 69,#Selfie 69 cristinajacob maiamorgensternolimpiamelintecrinasemciuc comedies dramas international movies triobetpainfulbreakuplovingfriendsmakespartygetmarriedthreedays  
"¡Ay, mi madre!","¡Ay, mi madre! frankariza estefaníadelossantossecundelarosaterelepávez comedies international movies womanmustfollowcollectimportantinheritanceestrangedmothersuddenlydiesquirkyinstructionslaidorder  "
Çarsi Pazar,Çarsi Pazar muharremgülmez erdemyenerayhantaşeminolcay comedies international movies openbigdevelopercomesslackerownercommunitytownclosenewmallpublicbathhouseralliessave  
Ég man þig,Ég man þig óskarthóraxelsson jóhanneshaukurjóhannessonágústaevaerlendsdóttirelmastefaniaagustsdottir horror movies international movies psychiatristgrievingrundownhouseconnectedoldsecretdecadesyoungurbanitesrenovatingsondisappearancesupernatural  
Çok Filim Hareketler Bunlar,Çok Filim Hareketler Bunlar ozanaçıktan ayçaerturanaydantaşayşegülakdemir comedies international movies otherwisehitsnagsprecioustimevignettessummerholidaysfollowvacationersbattlemosquitoessufferruinedplans  
Òlòtūré,Òlòtūré kennethgyang beverlyosusharonoojaomowunmidada dramas international movies exposehumantraffickingruthlessviolencefindsworldexploitedwomenprostitutelagosjournalistgoesundercover  
Æon Flux,Æon Flux karynkusama charlizetheronmartoncsokasjonnyleemiller action & adventure sci-fi & fantasy leadereliminatehastengovernmenttopaimingundergroundrebelliondispatchesacrobaticassassinaeonfluxuprising  
1 Chance 2 Dance,1 Chance 2 Dance adamdeyoe lexigiovagnolijustinrayraelatt dramas romantic movies senioryearhighschooluprootedtwoboys–tornfindsaspiringdanceroneshotdream  
1 Mile to You,1 Mile to You leiftilden billycrudupgrahamrogerslianaliberato dramas romantic movies sports movies highschoolstudentchannelsbusaccidentgirlfriendrunningkilledgriefescapingnewcoachhelp  
10 Days in Sun City,10 Days in Sun City adzeugah ayomakunadesuaetomirichardmofe-damijo comedies international movies romantic movies southafricajoinsyoungmanfacesunexpectedcompetitioncampaignmissnigeriapageantgirlfriendwins  
10 jours en or,10 jours en or nicolasbrossette franckduboscclauderichmariekremer comedies dramas international movies twoembarkcarefreebachelorroadtripchargechangeunexpectedlyleftlivesyoungboy  
"10,000 B.C.","10,000 B.C. rolandemmerich stevenstraitcamillabellecliffcurtis action & adventure womanrescuefiercemammothhuntersavevillagelehsetslovespeopleimpossiblejourneyviciouswarlord  "
100 Meters,100 Meters marcelbarrena danirovirakarraelejaldealexandrajiménez dramas international movies sports movies crankyfathermultiplesclerosisrespondsironmantriathlonlawmandiagnosedhelptraining  
100% Halal,100% Halal jastisarimba anisarahmaariyowahabananditodwis dramas international movies highschoolsoonfacesyoungwomanmarriesmanfatherunioninvalidchoicepossibilityreligionconsiders  
1000 Rupee Note,1000 Rupee Note shriharisathe ushanaiksandeeppathakshrikantyadav dramas international movies sweethandsomepoliticalbribegosmoothlyshoppingspreerandomlyreceivingpoorelderlywomandecidestreat  
12 ROUND GUN,12 ROUND GUN samupton samuptonjaredabrahamsonmarkboonejunior dramas independent movies sports movies prizefighterattemptsringrivaldealing12challengingpersonaldemonssonroundrematchdeathreturn  
13 Cameras,13 Cameras victorzarcoff pjmccabebriannemoncriefsarahbaldwin horror movies independent movies thrillers unawaresomeoneyoungparentssuburbanrentalhomeryanmoveclairesecretlywatchingeveryviahiddencameras  
13 Sins,13 Sins danielstamm markwebberrutinawesleydevongraye horror movies thrillers appearmanagreesgameshowmade6millionprizerealizeschallengesbecomegravemistakeextreme  
14 Blades,14 Blades daniellee donnieyenzhaoweiwuchun action & adventure international movies jinyiweibestagecalledquinglongeliteassassinsquadmademingdynastyactionemperorhighlytrainedformerstreeturchinsevileunuchjiaunseatsquicklybetrayed  
14 Cameras,"14 Cameras scotthussion,sethfuller nevillearchambaultambermidthunderbrytneeratledge horror movies thrillers customized’“13cameras”anteviolatevacationhousesequelfindsprivacyuppingfamilyrenting  "
16 Blocks,16 Blocks richarddonner brucewillismosdefdavidmorse action & adventure courtalivemakeluckyprosecutionwitnesstaskedescortingblocktrek–agingcopgears16  
17 Again,17 Again burrsteers zacefronlesliemannmatthewperry comedies nearingthirty–findexactlygetsmidlifecrisissomethingmikewisheswakes17  
18 Presents,18 Presents francescoamato vittoriapuccinibenedettaporcaroliedoardoleo dramas independent movies international movies unborndaughterpregnantmotherreacheswomanhoodreceiveeverybirthdayterminalcancerleavesbehind18sentimentalgifts  
1898: Our Last Men in the Philippines,1898: Our Last Men in the Philippines salvadorcalvo luistosarjaviergutiérrezálvarocervantes dramas international movies spainrelinquishesbrutalbattlesometimesbizarreclashfatiguedoutpostengagesfilipinoinsurgentslonglastcolonies  
1BR,1BR davidmarmor nicolebrydonbloomgilesmattheytaylornichols horror movies independent movies thrillers settlescozyapartmentcomplexindependencelosangelesdisturbingsenseseekingyoungwomanmovescommunity  
1st Summoning,1st Summoning raymondwood hayleylovittteddycolebrooktodd horror movies independent movies closerhorrorgraduallyrealizeabandonedwarehousethinkstudentfilmmakersuncoveroccultritualstied  
2 Alone in Paris,"2 Alone in Paris ramzybedia,éricjudor ramzybediaéricjudorbenoîtmagimel comedies international movies evenrepeatedlyeludesbumblingparispolicemanearthmasterthiefcapturelasttwomendoggedlydetermined  "
2 States,2 States abhishekvarman aliabhattarjunkapoorronitroy comedies dramas international movies graduatestudentskrishculturaldifferencesparentswinmarryananyahopetwofamiliesclashapproval  
20 Feet From Stardom,20 Feet From Stardom morganneville darlenelovemerryclaytonlisafischer documentaries music & musicals filmtakesbestdocumentaryfeaturelook2014academyawardworldbackupvocalistssupportwinnerlegends  
2036 Origin Unknown,2036 Origin Unknown hasrafdulull kateesackhoffrayfearonjuliecox sci-fi & fantasy missioncontrollermakesdeadlymarslandingastonishingdiscoveryartificialintelligenceinvestigatefailureworking  
20th Century Women,20th Century Women mikemills annettebeningellefanninggretagerwig dramas independent movies hopingmanaskstwoyoungwomen1979placesharesinglebohemianmomdorotheahelplivesteensonfind  
21 & Over,"21 & Over jonlucas,scottmoore milestellerskylarastinjustinchon comedies narrowlifechangesabruptlybirthdaybash–straightcrucialmedschoolinterviewbuddiestakenightjeff  "
2307: Winter's Dream,2307: Winter's Dream joeycurtis paulsidhuarielleholmesbrandencoles action & adventure independent movies sci-fi & fantasy frozentundrafuturisticarizonahumansbioengineeredleadersoldierhuntsforcedundergroundrebellion  
24 Hours to Live,24 Hours to Live briansmrz ethanhawkexuqingpaulanderson action & adventure useshitmangetslivedeadwifeextra24hours–childrevivedexperimentalprocedureredeemavenge  
25 Kille,25 Kille simranjitsinghhundal guggugillyograjsinghsoniamann action & adventure dramas international movies greedyfeudallordthreatensinheritedancestrallandfourbrotherslearnmustfighttakeclaim  
26 Years,26 Years geun-hyuncho goojinhye-jinhansoo-binbae dramas international movies thrillers twentygwangjuthreerelativessouthkorea1980massacresixyearsvictimscometogetheravengeinfamousorchestrator  
"27, el club de los malditos","27, el club de los malditos nicanorloreti diegocapusottosofíagaladanielaráoz action & adventure comedies international movies agesuspiciouscircumstancesdrinkingdetectivehard27musicfaninvestigaterockstarsoftendiemusiciandies  "
27: Gone Too Soon,27: Gone Too Soon simonnapier-bell janisjoplinjimihendrixamywinehouse documentaries tragicdeathsjimihendrixamywinehousejanisjoplinbrianjonescircumstancessurrounding27kurtcobainexplorejimmorrison  
28 Days,28 Days bettythomas sandrabullockviggomortensendominicwest comedies dramas drunkenanticsresultoutlooksoonmeetspropertydamagealcoholicjournalistentersrehab–changesfellowresident  
3 Days to Kill,3 Days to Kill mcg kevincostneramberheardhaileesteinfeld action & adventure terminallyillsecretagentacceptsexperimentaldrugexchange–surviveriskymissionsideeffectsmightsave  
3 Deewarein,3 Deewarein nageshkukunoor naseeruddinshahjackieshroffjuhichawla dramas international movies thrillers deathrowsolicitingtruemotivationsdocumentaryreporterinterviewsthreeconvictsstoriesemerge  
3 Generations,3 Generations gabydellal ellefanningnaomiwattssusansarandon dramas lgbtq movies teenageraybeginstransitioninggrandmothermustcopefemalemalefathersinglemomtrackingchange  
3 Heroines,3 Heroines imanbrotoseno rezarahadianbungacitralestaritarabasro dramas international movies sports movies 1988threeindonesianwomenbreakrecordsnationfirstarcherysummerseoulolympicsmedalbecoming  
3 Idiots,3 Idiots rajkumarhirani aamirkhankareenakapoormadhavan comedies dramas international movies draconiansystembestfriendsstrugglethreemiserableengineeringstudentsindiapremiercollegesschoolattendingonebeat  
3 Türken & ein Baby,3 Türken & ein Baby sinanakkuş kostjaullmannekofreshkidakhodrramadan comedies international movies familybridalshopturntopsyonecarebabygirlfriendturvythreedissatisfiedbrothersrunningexlives  
30 Days of Luxury,30 Days of Luxury hanihamdi taherfarouzsadal-saghirahmadfaloks comedies international movies prisonrestoringfriendsmanbreakshopeslivelynightclubhelp  
30 Minutes or Less,30 Minutes or Less rubenfleischer jesseeisenbergdannymcbrideazizansari action & adventure comedies robbery—pizzadeliverydriverbankheistwindstricttimelimitforcecommitabductingtwocrooksplanning  
300 Miles to Heaven,300 Miles to Heaven maciejdejczer krzysztofstroińskiandrzejmellinadriannabiedrzyńska dramas international movies twobrotherssneakdissidentparentshopingpreventeddenmarklandrefugeeshelpreturninghomepoland  
365 Days,"365 Days barbarabiałowąs,tomaszmandes anna-mariasiekluckamichelemorronebronisławwrocławski dramas international movies romantic movies fieryexecutivefallspiritlessrelationshipfallsvictimoneyearlovedominantmafiabossimprisonsgives  "
37 Seconds,37 Seconds hikari meikayamamisuzukannoshunsukedaitoh dramas international movies familialobligationspersonalliberationunconventionaljourneytrappedsexualfreedomsocietyyoungmangaartistgoes  
40 Sticks,40 Sticks victorgatonye robertagengomwaurabilalandreokamau international movies thrillers mysteriouskillerprisonbuscrashesforestrainynightgroupbattlingwildanimalscriminalsfinds  
42 Grams,42 Grams jackc.newell jakebickelhaupt documentaries wifeopenapartmentsuccessfulundergroundrestaurantlaunchingconsumingupscaleeateryambitiouschef  
48 Christmas Wishes,"48 Christmas Wishes marcodeufemia,justing.dyck khiylaaynnenoahdyermayafranzoi children & family movies comedies retrieveeverymissingwishsantaaccidentallygosmokesmalltownlettersnorthpoletwoelvesventure  "
4L,4L gerardoolivares jeanrenohovikkeuchkeriansusanaabaitua comedies dramas independent movies desertroadtripdyingfriendtwolongtimepalshopingestrangeddaughterbringingalongcreatespainmalireunite  
4th Man Out,4th Man Out andrewnackman evantoddparkeryoungchordoverstreet comedies lgbtq movies getusedextremelystraightbestfriendsfindideayoungmechaniccomesdeterminedrightguyhelp  
4th Republic,4th Republic ishayabako katehenshaw-nuttalenyinnanwigwelindaejiofor dramas international movies thrillers gubernatorialcandidatechallengescorruptincumbentnightmurdercampaignmanagerpollingsiteelectionvictory  
5 Cowok Jagoan,5 Cowok Jagoan anggyumbara ariobayuarifinputradwisasono action & adventure comedies international movies girlfriendyantoaskssillyslapstickhelpsavefriendskidnappedcampycrimefightingensuesmobster  
5 Flights Up,5 Flights Up richardloncraine joshpaisclairevanderboommorganfreeman comedies dramas independent movies apartmentnewonebuyattemptcouplefindsunexpecteddramalivingbrooklynwalksell40years  
5 Star Christmas,5 Star Christmas marcorisi massimoghinirickymemphismartinastella comedies international movies thingsgotopsyofficialtrippoliticalrivalchristmasweekturvyloverbudapestitalianprimeministermeets  
5 to 7,5 to 7 victorlevin antonyelchinbérénicemarloheoliviathirlby comedies dramas romantic movies newyorkhotelleadsturnedupsidechanceencounteroutsideintenseaffairlifeyoungnovelistwifediplomat  
50 First Dates,50 First Dates petersegal adamsandlerdrewbarrymorerobschneider comedies romantic movies termmemorymarineveterinarianshortprettyartteacherwinfallingeverysingleday  
50/50,50/50 jonathanlevine josephgordon-levittsethrogenannakendrick comedies dramas independent movies otherwisehealthytwentysomethingsurvivalcomicallyearlymidlifecrisisgetsslapped50chancecancerdiagnosis  
5CM,5CM rizalmantovani herjunotaliralineshahfedinuril dramas international movies javatruemeaningfriendshipclimbovercomingobstaclesdiscoveringfivefriendsembarkmissionwayhighestpeak  
5Gang,5Gang mateidima andreiselarudorianpopajuliamarcan comedies international movies daughter—makinggetskidnappedbandtogetherappearancekeepsellytriesbirthdaypartyearnmoneymobster  
6 Balloons,6 Balloons marjalewisryan abbijacobsondavefrancojanekaczmarek dramas independent movies detoxcenter2drivinglookingolddaughteraddictedbrotheryearstayafloatheroinloyalsisterstruggles  
6 Days,6 Days toafraser jamiebellabbiecornishmarkstrong action & adventure dramas international movies armedgunmenseizedaystandoffensuesiranianembassytensesixelitebritishsoldierspreparedangerousraid1980  
6 Underground,6 Underground michaelbay ryanreynoldsmélanielaurentcoreyhawkins action & adventure dramas boldteambloodymissioninternationaloperativesfakingbrutaldictatortechbillionairerecruitsdeathtake  
6 Years,6 Years hannahfidell taissafarmigabenrosenfieldlindsayburdge dramas independent movies romantic movies volatileyoungcoupletogetherfuturesixyearsapproachcollegegraduationunexpectedcareeropportunitiesthreaten  
6-5=2,6-5=2 bharatjain prashanttgupthagauravpaswalagauravkothari horror movies international movies thrillers sixfriendsdecidestorefindmerelyphysicaldifficultiesundertakegruelingmountaintrek  
68 Kill,68 Kill trenthaaga matthewgraygublerannalynnemccordalishaboe comedies independent movies thrillers conceivedloathsomesugardaddystunning–psychoticgirlfriendrobviolentillhelpschemehaplessguyagrees  
7 (Seven),7 (Seven) nizarshafi rahmanhavishreginacassandra tv shows appearsmissingmultiplewomenreportlookingmanpoliceofficertraceshusbandscrypticconnection  
7 años,7 años rogergual pacoleónjuanaacostajuanpabloraba dramas international movies committedloyaltiestestedfourbusinesspartnersspendcrueltiesrevealedcrimetenseeveningdebatingpay  
7 Din Mohabbat In,"7 Din Mohabbat In meenugaur,farjadnabi mahirakhansheheryarmunawarjavedsheikh comedies international movies music & musicals girlgeniesevendaysgivenmessysearchfindnerdyyoungmanembarkswifewouldmadcapfall  "
7 Khoon Maaf,7 Khoon Maaf vishalbhardwaj priyankachopraneilnitinmukeshjohnabraham dramas international movies thrillers womanspicedliberallymarriesnumerousmen–flawedblackcomedyfindlethallovelifebollywooddramafollows  
90 ML,90 ML anitaudeep oviyamasoomshankarbommulakshmi comedies international movies music & musicals wildsidesmeetencouragesnewwomanapartmentcomplexembracefourfriendsshakelives  
93 Days,93 Days stevegukas bimboakintolasomkeleiyamahdannyglover dramas international movies thrillers patientarrivessymptomsdeadlyvirusbasedcontainheroichealthworkersfightebolaoutbreaktruestorylagos  
A 2nd Chance,A 2nd Chance clayglen ninapearceadamtuominenemilymorris children & family movies dramas sports movies nationalteamtopreachconfidencechancegymnastlacksnewcoachwinhelpspotneeds  
A Babysitter's Guide to Monster Hunting,A Babysitter's Guide to Monster Hunting racheltalalay tamarasmartoonalaurencetomfelton children & family movies watchingrecruitedhighschoolerbattlessecretsocietyboybabysittersnabboogeymanhalloweenmonsters  
A Bad Moms Christmas,"A Bad Moms Christmas jonlucas,scottmoore milakuniskristenbellkathrynhahn comedies momsamybackstressedloomingchristmasholidaygetsevenvisitdauntingmothersshowcarlakiki  "
A Beautiful Life,A Beautiful Life andrewlauwai-keung qishuliuyeanthonywongchau-sang dramas international movies romantic movies traditionawkwardcircumstancesmeetingglamorousbusinesswomanchangesrelationshiplivesboundpolicemanbegin  
A Billion Colour Story,A Billion Colour Story padmakumarnarasimhamurthy dhruvapadmakumargauravsharmavasuki dramas independent movies international movies curiouschildincreasinglyintolerantworldidealisticinterfaithparentsobservesfamilyfacesfinancialstrain  
A Boy Called Po,A Boy Called Po johnasher christophergorhamjulianfederkaitlindoubleday dramas sci-fi & fantasy careregressesescaperealoverworkedengineerstruggleswifefantasyworldsonautismdeathlifebullying  
A Bridge Too Far,A Bridge Too Far richardattenborough dirkbogardejamescaanmichaelcaine action & adventure classic movies dramas keybridgesseizingcontrolalliedtaskforcetried1944pivotaldaywinworldwariiwartimedramadetailsholland  
A California Christmas,A California Christmas shaunpaulpiccinino laurenswickardjoshswickardaliafshar comedies romantic movies hardworkingfarmersellranchhandgetcarefreelifestylefamily’landwealthycharmerposeschristmasline  
A Champion Heart,A Champion Heart daviddevos mandygracedaviddevosdonnarusch children & family movies dramas caresexpectedwoundedhorsegrievingteenmustworkdebthealingteachesranch  
A Chaster Marriage,A Chaster Marriage umutkirca emrekarayelcerenmoraybegümkütük comedies international movies romantic movies womanfootballattemptskeepwedmanobsessedforcedwifeordertrulyloveschildhoodfriendgetrid  
A Choo,"A Choo kevinko,petertsi kaikoariellindarrenwang action & adventure international movies romantic movies orphanageejbecomesboxerchildhoodcrushsuperpowerssoonconfrontsheartdeterminedformidablevillainwin  "
A Christmas Prince,A Christmas Prince alexzamm rosemciverbenlambalicekrige children & family movies dramas romantic movies kingaspiringyoungjournalistchristmascomesearlygetdashingprincescoopsentabroadpoised  
A Christmas Prince: The Royal Baby,A Christmas Prince: The Royal Baby johnschultz rosemciverbenlambalicekrige children & family movies dramas romantic movies christmasbringsultimategiftqueenambermustsavekingdomfirstmonarchymysteryfamilyroyalbabyaldoviaunwrapping  
A Christmas Prince: The Royal Wedding,A Christmas Prince: The Royal Wedding johnschultz rosemciverbenlambalicekrige children & family movies dramas romantic movies simpletastesclashcrownroyalprotocolplanyearhelpingrichardsecureamberreturnsweddingaldovia  
A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir,A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir thomasastruc cristinaveebrycepapenbrookkeithsilverstein movies parisianteenmarinettetransformsfindrunsawayhomechristmaslonelysecretcrushadriensuperheroladybug  
A Cinderella Story,A Cinderella Story markrosman hilaryduffchadmichaelmurrayjennifercoolidge children & family movies comedies dancedinerlostcellphonebringtogetherdreamsboyteensammeetsreturningstepmothertoil  
A Cinderella Story: Christmas Wish,A Cinderella Story: Christmas Wish michellejohnston lauramaranogreggsulkinisabellagomez children & family movies comedies music & musicals elfdespiteaspiringsingerworksfindsholidaymiraclevainstepmothermeanstepsisterschristmastreelot  
A Clockwork Orange,A Clockwork Orange stanleykubrick malcolmmcdowellpatrickmageemichaelbates classic movies cult movies dramas youngdystopianenglandundergoesexperimentalrehabilitationtherapydarksatirevicioussociopathdirectorstanleykubrick  
A Dangerous Woman,A Dangerous Woman stephengyllenhaal debrawingerbarbarahersheygabrielbyrne dramas romantic movies goldenglobeworkingdebrawingerwittedwomanlivingslowengrossingmelodramashelteredwidowedauntfrancesdrycleanerscenterplaysnominatedturn  
A Fairly Odd Summer,A Fairly Odd Summer savagesteveholland drakebelldaniellamonetdavidlewis children & family movies comedies gangheadshawaiidangeroushandsfairymagicliveactionadventuresourcetimmylearns  
A Fall from Grace,A Fall from Grace tylerperry crystalfoxphyliciarashadcicelytyson dramas thrillers newhusbandtruthlawskepticalyounglawyersetsabidinggraceconfessestylerperryuncoverkillinggentlefilm  
A Family Affair,A Family Affair tomfassaert tomfassaert documentaries international movies familyhistoryfilmmakerhuntscomplexvisitcontroversialfiguremissingpuzzlepiecesgrandmother  
A Family Man,A Family Man markwilliams gerardbutlergretchenmolalisonbrie dramas rivaldealingruthlesscorporateheadhunterbattlesderailfamilycrisiscareerpromotionthreatens  
A Family Reunion Christmas,A Family Reunion Christmas robbiecountryman lorettadevinetiamowry-hardrictanthonyalabi movies valuablelessonkidsdearkeepsistersstrugglesingingacttogethergrandpateacheschurchchristmaspageant  
A Flying Jatt,A Flying Jatt remod'souza tigershroffjacquelinefernandeznathanjones action & adventure international movies sci-fi & fantasy tryingfamilysacredtreelandtimidmangetsunexpectedsuperpowersruthlesstycoonsave  
A Fortunate Man,A Fortunate Man billeaugust esbensmedkatrinerosenthalbenjaminkitter dramas international movies giftedengineerfleessuccessamongcopenhagenruinthreatenspursuewealthpridepropellingaustererootselite  
A Futile and Stupid Gesture,A Futile and Stupid Gesture davidwain willfortedomhnallgleesonmartinmull comedies conationallampoonmoldingpopculturetriumph1970scomedyempirefounderdougkenneybuiltbrieflifefullfailure  
A Ghost Story,A Ghost Story davidlowery caseyaffleckrooneymaralizfranke dramas independent movies spiritremainsstuckfuturebeginopensharedmanwifefatalcarcrashhomepastdoorsfollowing  
A Glimpse Inside the Mind of Charles Swan III,A Glimpse Inside the Mind of Charles Swan III romancoppola charliesheenjasonschwartzmanbillmurray comedies independent movies girlfriendwalks–setsseemedwentwrongdiscovergraphicdesignerwreckleaves  
A Go! Go! Cory Carson Christmas,"A Go! Go! Cory Carson Christmas stanleymoore,alexwoo alanc.limtaronc.hensleymaisiebenson children & family movies withoutcoryhelpssavefamiliarholidaylookingstrangercrashesrememberchristmasmagiceveryonememory  "
A Go! Go! Cory Carson Halloween,"A Go! Go! Cory Carson Halloween alexwoo,stanleymoore alanc.limsmithforemanmaisiebenson children & family movies corykingspookysidetreatsworthchrissyfreddietrektownhuntsizedcandybarshalloween  "
A Go! Go! Cory Carson Summer Camp,"A Go! Go! Cory Carson Summer Camp stanleymoore,alexwoo alanc.limsmithforemanabigailvibat children & family movies corycampfriendshipridespendingfreddiebringscousinrosiealongsummerjealousyflaresbestfriend  "
A Grand Night In: The Story of Aardman,A Grand Night In: The Story of Aardman richardmears juliewalters documentaries morphstudiocollaboratorsaardmananimationsiconswallacegromitretrospectivecelebratingjoinfans40thanniversary  
A Haunted House,A Haunted House michaeltiddes marlonwayansessenceatkinscedrictheentertainer comedies horror movies scarymoviesfollowsnewhomeyoungcouplesettlingevilspirit—spoofhorrifyinglyhilariousanticsawait  
A Haunting at Silver Falls: The Return,A Haunting at Silver Falls: The Return teokonuralp lauraflanneryjamescavloharryhains horror movies independent movies serialkillerauntseeminglyresurfacesghostsilverfallsendhopestormentfinallyputtingjordanmustreturn  
A Heavy Heart,A Heavy Heart thomasstuber peterkurthlenalauzemislinawendel dramas independent movies international movies stillconfrontsterminalvirileboxertriesreconnectheydaydegenerativeneuraldisorderonsetlongpastdaughter  
A Holiday Engagement,A Holiday Engagement jimfall bonniesomervilleshelleylongjordanbridges children & family movies comedies romantic movies goodfoolboyfriendbackfireshirefamilytryhilaryholidaysactlookingguybringshomeplan  
A Home with A View,A Home with A View hermanyau francischun-yunglouiskooanitayuen comedies international movies hongkongfamilyresortsimaginativemeasurescitydrasticneighborblockscommercialbillboardviewtake  
A Kid from Coney Island,"A Kid from Coney Island coodie,chike stephonmarbury documentaries sports movies pressurespitfallsconeyislandpeaksprofessionalnbahooperbasketballjourneystephonmarburynavigatesgiftedathlete  "
A Kind of Murder,A Kind of Murder andygoddard patrickwilsonjessicabielvincentkartheiser thrillers unsolvedmurdercasedeadsoonturnswifecrimenoveliststuckobsessedkillingunhappymarriagefantasizes  
A Land Imagined,A Land Imagined yeosiewhua peteryuliuxiaoyiguoyue dramas international movies spentsleeplessnightsplayingmysteriousvideogamesingaporeinvestigatescopchinesemigrantconstructionworkerdisappearance  
A Little Chaos,A Little Chaos alanrickman katewinsletmatthiasschoenaertsalanrickman dramas independent movies international movies hiredensnaredpoliticaldesigngardenversailleslouisxivwillfulyoungwomansoonromanticcomplications  
